id,eafya_hmis_id,hmis_code,hmis_name,eafya_disease_id,eafya_disease_name,section_id,section_name,data_element_id,category_optioncombo_id,category_optioncombo_name
146,244,CA03,Breast Cancer,1186,Axillary tail of breast,1.3.11,Cancers,rw7ri7jcMHc,XVHTeecEOM3,"20+Yrs, Female"
147,244,CA03,Breast Cancer,1186,Axillary tail of breast,1.3.11,Cancers,rw7ri7jcMHc,c7gvocRdg0f,"10-19Yrs, Male"
148,244,CA03,Breast Cancer,1186,Axillary tail of breast,1.3.11,Cancers,rw7ri7jcMHc,u3CkZqMHfHP,"10-19Yrs, Female"
149,244,CA03,Breast Cancer,1186,Axillary tail of breast,1.3.11,Cancers,rw7ri7jcMHc,zh2zAaHyYQx,"0-28Dys, Male"
150,244,CA03,Breast Cancer,1186,Axillary tail of breast,1.3.11,Cancers,rw7ri7jcMHc,wDiX34aiw6i,"0-28Dys, Female"
151,244,CA03,Breast Cancer,1187,Overlapping lesion of breast,1.3.11,Cancers,rw7ri7jcMHc,F1rms8f9I9a,"5-9Yrs, Male"
152,244,CA03,Breast Cancer,1187,Overlapping lesion of breast,1.3.11,Cancers,rw7ri7jcMHc,Crc5reUlspd,"5-9Yrs, Female"
153,244,CA03,Breast Cancer,1187,Overlapping lesion of breast,1.3.11,Cancers,rw7ri7jcMHc,V2OuNTRI6ua,"29Dys-4Yrs, Male"
154,244,CA03,Breast Cancer,1187,Overlapping lesion of breast,1.3.11,Cancers,rw7ri7jcMHc,huBy3W5qiD2,"29Dys-4Yrs, Female"
155,244,CA03,Breast Cancer,1187,Overlapping lesion of breast,1.3.11,Cancers,rw7ri7jcMHc,dCKzhhINakS,"20+Yrs, Male"
156,244,CA03,Breast Cancer,1187,Overlapping lesion of breast,1.3.11,Cancers,rw7ri7jcMHc,XVHTeecEOM3,"20+Yrs, Female"
157,244,CA03,Breast Cancer,1187,Overlapping lesion of breast,1.3.11,Cancers,rw7ri7jcMHc,c7gvocRdg0f,"10-19Yrs, Male"
158,244,CA03,Breast Cancer,1187,Overlapping lesion of breast,1.3.11,Cancers,rw7ri7jcMHc,u3CkZqMHfHP,"10-19Yrs, Female"
159,244,CA03,Breast Cancer,1187,Overlapping lesion of breast,1.3.11,Cancers,rw7ri7jcMHc,zh2zAaHyYQx,"0-28Dys, Male"
160,244,CA03,Breast Cancer,1187,Overlapping lesion of breast,1.3.11,Cancers,rw7ri7jcMHc,wDiX34aiw6i,"0-28Dys, Female"
161,244,CA03,Breast Cancer,1188,"Breast, unspecified",1.3.11,Cancers,rw7ri7jcMHc,F1rms8f9I9a,"5-9Yrs, Male"
162,244,CA03,Breast Cancer,1188,"Breast, unspecified",1.3.11,Cancers,rw7ri7jcMHc,Crc5reUlspd,"5-9Yrs, Female"
163,244,CA03,Breast Cancer,1188,"Breast, unspecified",1.3.11,Cancers,rw7ri7jcMHc,V2OuNTRI6ua,"29Dys-4Yrs, Male"
164,244,CA03,Breast Cancer,1188,"Breast, unspecified",1.3.11,Cancers,rw7ri7jcMHc,huBy3W5qiD2,"29Dys-4Yrs, Female"
165,244,CA03,Breast Cancer,1188,"Breast, unspecified",1.3.11,Cancers,rw7ri7jcMHc,dCKzhhINakS,"20+Yrs, Male"
166,244,CA03,Breast Cancer,1188,"Breast, unspecified",1.3.11,Cancers,rw7ri7jcMHc,XVHTeecEOM3,"20+Yrs, Female"
167,244,CA03,Breast Cancer,1188,"Breast, unspecified",1.3.11,Cancers,rw7ri7jcMHc,c7gvocRdg0f,"10-19Yrs, Male"
168,244,CA03,Breast Cancer,1188,"Breast, unspecified",1.3.11,Cancers,rw7ri7jcMHc,u3CkZqMHfHP,"10-19Yrs, Female"
169,244,CA03,Breast Cancer,1188,"Breast, unspecified",1.3.11,Cancers,rw7ri7jcMHc,zh2zAaHyYQx,"0-28Dys, Male"
170,244,CA03,Breast Cancer,1188,"Breast, unspecified",1.3.11,Cancers,rw7ri7jcMHc,wDiX34aiw6i,"0-28Dys, Female"
171,244,CA03,Breast Cancer,1181,Central portion of breast,1.3.11,Cancers,rw7ri7jcMHc,wDiX34aiw6i,"0-28Dys, Female"
